Id,name,genre,year
181,Harry Potter and the Deathly Hallows: Part 2,Adventure,2011
182,On the Waterfront,Crime,1954
183,Ben-Hur,Adventure,1959
184,Gone Girl,Drama,2014
185,The Grand Budapest Hotel,Adventure,2014
186,Wild Strawberries,Drama,1957
187,The General,Action,1926
188,The Third Man,Film-Noir,1949
189,In the Name of the Father,Biography,1993
190,The Deer Hunter,Drama,1978
191,Barry Lyndon,Adventure,1975
192,Hacksaw Ridge,Biography,2016
193,The Wages of Fear,"Adventure,",1953
194,Memories of Murder,Crime,2003
195,Sherlock Jr.,Action,1924
196,Wild Tales,Comedy,2014
197,Mr. Smith Goes to Washington,Comedy,1939
198,Mad Max: Fury Road,Action,2015
199,The Seventh Seal,Drama,1957
200,Mary and Max,Animation,2009
201,How to Train Your Dragon,Animation,2010
202,Room,Drama,2015
203,"Monsters, Inc.",Animation,2001
204,Jaws,Adventure,1975
205,Dead Poets Society,Comedy,1989
206,The Big Lebowski,Comedy,1998
207,Tokyo Story,Drama,1953
208,The Passion of Joan of Arc,Biography,1928
209,Hotel Rwanda,Biography,2004
210,Ford v Ferrari,Action,2019
211,Rocky,Drama,1976
212,Platoon,Drama,1986
213,Ratatouille,Animation,2007
214,Spotlight,Biography,2015
215,The Terminator,Action,1984
216,Logan,Action,2017
217,Stand by Me,Adventure,1986
218,Rush,Action,2013
219,Network,Drama,1976
220,Into the Wild,Adventure,2007
221,Before Sunset,Drama,2004
222,The Wizard of Oz,Adventure,1939
223,Pather Panchali,Drama,1955
224,Groundhog Day,Comedy,1993
225,The Best Years of Our Lives,Drama,1946
226,The Exorcist,Horror,1973
227,The Incredibles,Animation,2004
228,To Be or Not to Be,Comedy,1942
229,La haine,Crime,1995
230,The Battle of Algiers,Drama,1966
231,Pirates of the Caribbean: The Curse of the Black Pearl,Action,2003
232,Hachi: A Dog's Tale,Biography,2009
233,The Grapes of Wrath,Drama,1940
234,Jai Bhim,Crime,2021
235,My Father and My Son,Drama,2005
236,Amores Perros,Drama,2000
237,Rebecca,Drama,1940
238,Cool Hand Luke,Crime,1967
239,The Handmaiden,Drama,2016
240,The 400 Blows,Crime,1959
241,The Sound of Music,Biography,1965
242,It Happened One Night,Comedy,1934
243,Persona,Drama,1966
244,Life of Brian,Comedy,1979
245,The Iron Giant,"Animation,",1999
246,The Help,Drama,2011
247,Dersu Uzala,Adventure,1975
248,Aladdin,Animation,1992
249,Gandhi,Biography,1982
250,Dances with Wolves,Adventure,1990
